[Mar 5 20:48:49] 
[Mar 5 20:48:49] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.15==
[Mar 5 20:48:49] Success: dup-installer/classes/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/class.crypt.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/class.password.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/class.server.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/config/class.security.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/config/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/config/class.conf.wp.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/config/class.conf.utils.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/config/class.archive.config.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/config/class.conf.srv.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/config/class.constants.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/view-helpers/class.view.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/view-helpers/class.u.html.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/class.engine.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/utilities/template/class.u.template.manager.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/utilities/template/class.u.template.item.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/utilities/class.u.remove.redundant.data.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/utilities/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/utilities/class.u.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/utilities/class.u.search.reaplce.manager.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/utilities/class.u.notices.manager.php >>> /home/dn072025/dynex.com.ua/www
